Класс	Форма шапки	Поверхность шляпки	Цвет шляпки	Синие пятна	Запах	Форма крепления гименофора к ножке	Частота гименофора	Размер гименофора	Цвет гименофора	Форма ножки	Корень ножки	Поверхность ножки выше кольца	Поверхность ножки ниже кольца	Цвет ножки выше кольца	Цвет ножки ниже кольца	Тип покрывала	Цвет покрывала	Количество колец	Остатки частного покрывала	Цвет спор	Частота грибницы	Место обитания
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
съедобный	выпуклая	гладкая	белый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
ядовитый	плоская	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	город
съедобный	плоская	гладкая	белый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
ядовитый	плоская	гладкая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
ядовитый	выпуклая	гладкая	белый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	выпуклая	гладкая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
ядовитый	выпуклая	гладкая	белый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
съедобный	выпуклая	гладкая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	плоская	гладкая	белый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
ядовитый	плоская	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	белый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	трава
съедобный	выпуклая	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	чешуйчатая	красный	есть	отсутствует	свободный	закрытые	широкий	фиолетовый	сужающаяся к основанию	луковичный	гладкая	гладкая	серый	серый	частное	белый	одно	подвесная	черный	одиночные	леса
ядовитый	плоская	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	город
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	трава
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	колокол	гладкая	белый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
ядовитый	плоская	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	белый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	колокол	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	трава
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	выпуклая	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	волокнистая	коричневый	есть	отсутствует	свободный	закрытые	широкий	розовый	сужающаяся к основанию	луковичный	гладкая	гладкая	розовый	серый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	колокол	чешуйчатая	белый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
съедобный	выпуклая	волокнистая	серый	есть	отсутствует	свободный	закрытые	широкий	коричневый	сужающаяся к основанию	луковичный	гладкая	гладкая	серый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
ядовитый	плоская	чешуйчатая	коричневый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	выпуклая	гладкая	белый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
ядовитый	плоская	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	редкие	город
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	гладкая	желтый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	плоская	гладкая	белый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	гладкая	белый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
ядовитый	выпуклая	чешуйчатая	коричневый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	редкие	трава
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
ядовитый	плоская	чешуйчатая	коричневый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	волокнистая	коричневый	есть	отсутствует	свободный	закрытые	широкий	розовый	сужающаяся к основанию	луковичный	гладкая	гладкая	розовый	белый	частное	белый	одно	подвесная	черный	редкие	леса
съедобный	выпуклая	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
ядовитый	плоская	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	белый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
ядовитый	выпуклая	гладкая	белый	есть	острый	свободный	закрытые	узкий	белый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	выпуклая	волокнистая	коричневый	есть	отсутствует	свободный	закрытые	широкий	розовый	сужающаяся к основанию	луковичный	гладкая	гладкая	серый	серый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	дороги
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	плоская	гладкая	белый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	волокнистая	серый	есть	отсутствует	свободный	закрытые	широкий	белый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	выпуклая	гладкая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	выпуклая	чешуйчатая	коричневый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	выпуклая	чешуйчатая	серый	есть	отсутствует	свободный	закрытые	широкий	коричневый	сужающаяся к основанию	луковичный	гладкая	гладкая	розовый	серый	частное	белый	одно	подвесная	черный	одиночные	леса
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	плоская	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	волокнистая	коричневый	есть	отсутствует	свободный	закрытые	широкий	розовый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	леса
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	гладкая	белый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	город
ядовитый	плоская	гладкая	белый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	город
ядовитый	плоская	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	трава
съедобный	выпуклая	волокнистая	коричневый	есть	отсутствует	свободный	закрытые	широкий	фиолетовый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	серый	частное	белый	одно	подвесная	черный	редкие	леса
съедобный	выпуклая	гладкая	белый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	гладкая	серый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	волокнистая	красный	есть	отсутствует	свободный	закрытые	широкий	коричневый	сужающаяся к основанию	луковичный	гладкая	гладкая	розовый	розовый	частное	белый	одно	подвесная	черный	редкие	леса
ядовитый	плоская	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	волокнистая	коричневый	есть	отсутствует	свободный	закрытые	широкий	коричневый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	серый	частное	белый	одно	подвесная	коричневый	редкие	леса
ядовитый	плоская	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
ядовитый	плоская	гладкая	белый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	редкие	трава
ядовитый	плоская	гладкая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	город
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	плоская	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	шоколад	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
ядовитый	плоская	гладкая	белый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	трава
ядовитый	плоская	гладкая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	редкие	трава
съедобный	плоская	гладкая	серый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
